"Delivery Configuration","Configuration (ne pas modifier)"
"Pharmao Delivery API","Paramètres module Pharmao"
"Pharmao Delivery Job","Pharmao Livraisons"
"Global Settings","Paramètres Pharmacie"
"Your pickup address","Adresses de retrait"
"Your pickup city","Ville"
"Your pickup postcode","Code postal"
"Your pickup address company name","Nom pharmacie"
"Your pickup address email contact","Email"
"Your pickup address lastname contact","Nom"
"Your pickup address firstname contact","Nom pharmacie"
"Your pickup address phone contact","Téléphone pharmacie"